review
Like walking on Nike Air. So comfortable I love them.  Just check how many times i have ordered them.   There is only one NIKE.
The sneakers feels like walking on the clouds.  I am extremely happy with them.
"I have had these shoes for about a year now. I used them for running, workouts, and for general use. I am size 11.5 in women's and I ordered them in that size. They fit perfect and I would definitely order them again. They are just starting to get tiny wear holes in them great durability. 10/10"
"I love everything about them, except the fact that they are a little stiff around the top and I am having a little difficulty breaking them in.  They are hurting my right ankle on the inside but I am sure once I break them in they will be fine. I have had a lot of Nike shoes and this is the first pair I have had a problem with… of course, they are the first pair of court shoes I have had so that might be the problem. I always buy a size 9 in Nike shoes even though I generally wear an 8 1/2. I have tried to wear an 8 1/2 in Nike, but they are too short ."
These are super versatile. They complete many different outfits
I wear them to work on dress down days
Great fit and very comfortable. The extra support and cushioning give me extra stability when walking long distances or carrying heavy loads. I have very weak ankles and these have alleviated alot of the associated discomfort. Helps that they also feel well made with detailed construction making them more tasteful than most dad shoes.
Love these Nike trainers. I wish I had sized a half size down though. Shoe sizes are confusing now though. I am a 5 in Dunks but I would have been better with the 4.5 in the P-6000
"Definitely size down a half size or even a full size i had read the reviews and opted to size down from a 6 to a 5.5 but will but a 5 next time and im always usually a 6 , surprisingly lightweight and breathable and lovely colour way and very fashionable love them"
Absolutely love them! Probably going to get another pair.
"Very nice shoe,this is my 3rd pair, a little tight at first but they do loosen."
This sneakers is wonderful for my outfits. I can use them for multiple occasions.
"Absolutely hands down the BEST shoes I have EVER owned. They were so comfortable right out of the box and I get so many compliments on them. I am going to continue getting these exact pair so I hope Nike never stops making them. My feet tend to be wider then most, so I sized up by half, I think that was the right call."
Very comfortable and my go to walking shoe.  I love the blue/purple combo. Cushiony soft feel.  Runs true to size and just feel good on my feet.
Absolutely loved wearing it throughout my US Trip. Super comfy and fits perfectly in my feet.
Super cute! My daughter is loving her shoes!
These sneakers are super comfortable but they don’t stay white. Mine have turn yellow especially the rubber part. Very disappointed with Nikes quality. These are the second pair of sneakers i have in white that rubber part turn yellow.
[This review was collected as part of a promotion.] True to size and comfortable. Easy to slip on and off.
"I like this , it’s beautifulbbdbbdbdbdbbdbddndndndndd"
[This review was collected as part of a promotion.] Everything is outstanding!!👍🏿 I will most definitely be back 👍🏿
I got my Order in Time The Shoes Look The same as the picture of Course I'm happy with this order good product
"Cómodos, good cushioning & style, modernized."
"I’ve been Pegasus loyal since high school track, liked the look of these and wow, so comfy! I cannot get over their lovely combination of supreme cushion, support and lightness, all in a sleek, low profile. Really happy with my purchase."
"The shoes are well cushioned, and I appreciate the outsoles overall. I also like the wider toe box and wish that Nike would make their racing shoes as wide as these. The uppers could be better, as my heel slips in them, but they are breathable. That said, I would not use them racing or anything like that. They perform well enough as a nice pair of training/recovery shoes, as they offer enough comfort. If you are looking for a pair shoes that are light in terms of weight, look elsewhere because these are quite heavy. My pair sometimes hurt the upper part of my left foot near the top lacing area, but gets a little better when I mess with lacing, or loosen them up. I do wish the laces were a little more stretchy, as that might help with the slight discomfort. I have ran some half-marathon distances in them (Strava - 59684519) and they seem to hold up well."
I love ❤️ these bb sneakers. I think it was mentioned before traction is bananas!🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌🍌 Beautiful color way that screams Spring. If you like to feel loaded the ground and supported locked into your shoe or like these if you like to feel like nothings on your foot you won’t like these. I hope that Help. The JA 1 Does run a bit snug you might want to size up if you like a little more room.
"I love the overall look of this shoe, but it runs painfully small. I had to return it. I would size up."
"I bought these about 5 or so months ago and I LOVE them. Super comfortable and light weight. My only problem is that I need a different insole for my feet and I can't put one in because the original insole is glued to the bottom, and when I try to use my other one on top it hurts my feet because there is not enough space."
"These shoes are supah fly! Love the green glows. Really quality craftsmanship. So sharp looking! Comfortable, too."
"People slept on these, material, craftsmanship is 100% solid. Colorway is on point and specially the story of this specific pair. Thank you Nike/Jordan Brand for bringing these bad boys back! Being an OG head like me, We really appreciate every pair that has story behind it not just what all these “New sneakerheads” trying to hype. Well appreciated Nike Team!"
Love the colors
Very pretty pink. My daughters love them so now I have to buy 2 more pair 🙄
love these shoes the color is so bright and pretty.
Very cute .. stylish . Went great with my outfit… transaction was smooth
Failed to fetch page: 404 Client Error: Not Found for url: https://www.nike.com/t/air-jordan-13-retro-blue-grey-mens-shoes-TBQf23/414571-170
