product_id,full_price,discounted,current_price,product_url,description,ratings,reviews
FB2184-002,45,False,45.0,https://www.nike.com/t/asuna-3-next-nature-womens-slides-Tsj7hf/FB2184-002,"The Asuna gets a utilitarian twist in its 3rd rendition that preserves the iconic comfort while enhancing durability. The padded strap is easily adjustable to accommodate your foot's shape and size, as well as your comfiest socks. The original side lacing system takes a step back for a minimalist strap that makes customizing your fit even simpler. These aren't your average pool slides—but you'll want to wear them there, too.Shown: Light Smoke Grey/Pure Platinum/Light Bone/Bright MandarinStyle: FB2184-002",4.4 Stars,5
DJ5631-700,90,True,64.97,https://www.nike.com/t/mercurial-vapor-15-academy-multi-ground-low-top-soccer-cleats-5DNpWz/DJ5631-700,"The field is yours when you lace up in the Vapor 15 Academy MG. It's loaded with a Zoom Air unit and flexible NikeSkin up top for exceptional touch, so you can dominate in the waning minutes of a match—when it matters most. Fast is in the Air.Shown: Lemonade/BlackStyle: DJ5631-700",4.6 Stars,62
DV2757-003,170,True,79.97,https://www.nike.com/t/cosmic-unity-3-basketball-shoes-0zGs9z/DV2757-003,"Better for your game, designed with sustainability in mind—two things you care about—the Cosmic Unity 3 has a secure, lightweight design for a low-to-the-ground feel. It gives you cloud-like cushioning for explosive speed and quick changes in direction, the difference-makers in a game that’s becoming more extraterrestrial.Shown: Light Silver/Deep Jungle/Honeydew/WhiteStyle: DV2757-003",4.4 Stars,114
DJ6949-103,52,False,52.0,https://www.nike.com/t/future-field-little-big-kids-cleats-bjx3Dw/DJ6949-103,"Football. Baseball. Soccer. Or even running around the field at recess. The best part of the Nike Future Field cleats is that they're meant for all types of field play. They're durable so you can try out all the sports you want. Plus, they're versatile and comfy to wear off the field, too—like, going to get ice cream for a postgame and post-practice treat.Shown: White/Volt/BlackStyle: DJ6949-103",4.7 Stars,57
DX7614-601,52,False,52.0,https://www.nike.com/t/star-runner-4-little-kids-shoes-D8kzVQ/DX7614-601,"Get out the door in a flash with the Star Runner. Loops on the tongue and heel make it easy to open the shoe up wide so little star runners can step in and get going. Soft cushioning in the midsole provides a comfortable, springy return so 1 more round, lap and turn is always an option. The tread grabs at pavement, grass and gravel to give them extra grip while a rubber-wrapped toe toughens up the construction so they can go further in the same pair of Star Runners.Shown: Fierce Pink/Black/Playful Pink/WhiteStyle: DX7614-601",4.6 Stars,102
FJ1221-007,160,False,160.0,https://www.nike.com/t/infinityrn-4-team-mens-road-running-shoes-VXRd3b/FJ1221-007,"Maximum cushioning provides elevated comfort for everyday runs. Experience a soft, rocker-shaped platform made with new ReactX foam underfoot and an ultra-comfortable collar and tongue for a snug feel. Plus, a water-resistant membrane was added to this version to help keep you dry.Shown: Cool Grey/Vegas Gold/WhiteStyle: FJ1221-007",5 Stars,3
FZ6829-303,70,False,70.0,https://www.nike.com/t/revolution-7-womens-road-running-shoes-extra-wide-bt34Qq/FZ6829-303,"We loaded the Revolution 7 with the sort of soft cushioning and support that might change your running world. Stylish as ever, comfortable when the rubber meets the road, and performative for your desired pace, it’s an evolution of a fan favorite that offers a soft, smooth ride.Shown: Barely Green/White/Platinum Tint/Metallic SilverStyle: FZ6829-303",4.3 Stars,4
DZ0503-400,120,False,120.0,https://www.nike.com/t/air-zoom-diamond-elite-turf-mens-baseball-shoes-p4mz9D/DZ0503-400,"Get game-ready with these Diamond Elites or just wear them while spitting seeds and shooting the breeze with your teammates in the dugout. A Zoom Air unit gives you speed in warm-ups, while a forefoot strap helps keep you contained when shagging flies. And the traction pattern works on all pregame surfaces, helping you work on your takeoff from 1st to 2nd or lay out for line-drives in the outfield.Shown: Hyper Royal/Pure Platinum/Polar/WhiteStyle: DZ0503-400",4.7 Stars,3
DV6800-104,130,False,130.0,https://www.nike.com/t/victory-pro-3-mens-golf-shoes-SsxNJ0/DV6800-104,"Made for your triumphant marches down the fairway after striping that drive and surprisingly fresh legs when it’s time to take off the hats, these shoes have an updated design that maintains those true old-school stylings with even more pop, comfort and traction. It’s perfect for a post-work bucket of balls or the foot-wedger hoping to blend in with the group while getting a little closer to the hole.Shown: White/Black/Lightning/Team RedStyle: DV6800-104",4.4 Stars,7
CZ5919-103,32,False,32.0,https://www.nike.com/t/hyperdiamond-4-keystone-gg-big-kids-softball-cleats-z1R2gL/CZ5919-103,Be quick between the bases and nimble on defense in the Nike Hyperdiamond 4 Keystone GG. A rubber outsole with studs gives you traction to help beat the relay throw from the outfield just in time.Shown: White/Photon Dust/Volt/BlackStyle: CZ5919-103,4.8 Stars,354
