product_id,full_price,discounted,current_price,product_url,description,ratings,reviews
DZ3306-800,140,False,140.0,https://www.nike.com/t/air-huarache-runner-mens-shoes-hkFLHQ/DZ3306-800,"When it fits this good and looks this great, it doesn’t need a Swoosh logo. The Air Huarache takes on a classic silhouette with a runner-inspired design, mixed materials and rich neutrals for a look that is both nostalgic and brand new. With its stretchy, foot-hugging fabric and futuristic heel cage, it's still everything you love about the Huarache.Shown: Monarch/Dark Russet/Gum Dark Brown/SailStyle: DZ3306-800",4.6 Stars,56.0
DC8466-602,90,False,90.0,https://www.nike.com/t/streetgato-low-top-soccer-shoes-rM82P8/DC8466-602,Rule the streets in the Nike Streetgato. They blend performance details with streetwear flair so you can be ready to play at any moment.Shown: Red Stardust/Red StardustStyle: DC8466-602,4.6 Stars,64.0
FJ6196-100,140,True,107.97,https://www.nike.com/t/air-trainer-1-college-football-playoff-mens-shoes-XZxdhB/FJ6196-100,"This special edition of the cross-trainer from '87 celebrates the College Football Playoff. A forefoot strap adds retro appeal and the leather breaks in beautifully, while removable patches on the heel let you celebrate the game you love.Shown: White/White/Metallic Gold/Gold LeafStyle: FJ6196-100",5 Stars,2.0
DA5380-122,55,False,55.0,https://www.nike.com/t/court-legacy-big-kids-shoes-RppBqt/DA5380-122,"The Nike Court Legacy serves up style rooted in tennis culture. They are durable and comfy with heritage stitching and a retro Swoosh. When you pull these on—it’s game, set, match.Shown: White/Team Red/Bright CrimsonStyle: DA5380-122",4.8 Stars,469.0
DH9393-105,75,False,75.0,https://www.nike.com/t/air-max-intrlk-lite-big-kids-shoes-8k3th1/DH9393-105,"Who doesn’t love a new Air Max experience? The Nike Air Max INTRLK Lite reshapes your favorite Air cushioning with a smooth and comfy feel. This lightweight shoe is super easy, durable and versatile for all your needs, and flips the page into another evolution of our Air Max story.Shown: Summit White/Hyper Orange/White/BlackStyle: DH9393-105",4.7 Stars,66.0
DA5381-104,45,False,45.0,https://www.nike.com/t/court-legacy-little-kids-shoes-Mb7npn/DA5381-104,"The Nike Court Legacy serves up classic tennis style for kiddos. They're durable and comfy with heritage stitching and a retro Swoosh. When your lil’ one puts these on—it’s game, set, match.Shown: White/WhiteStyle: DA5381-104",4.8 Stars,330.0
DM4044-103,90,True,71.97,https://www.nike.com/t/cortez-mens-shoes-SxhPXX/DM4044-103,"Was 1972. Now 2023. Sometimes more is better. Recrafting the revered look, we've refreshed the design with a wider toe area and firmer side panels so you can comfortably wear them day in, day out. Reengineered materials help prevent warping and add durability while maintaining the classic '72 shape you fell in love with. Lace up, because tradition keeps getting better.Shown: White/Cosmic Clay/Metallic Silver/Dusty CactusStyle: DM4044-103",4.7 Stars,91.0
HJ4497-001,120,False,120.0,https://www.nike.com/t/v2k-run-shoes-DDV2HS/HJ4497-001,"Fast forward. Rewind. Doesn’t matter—this shoe takes retro into the future. The V2K remasters everything you love about the Vomero in a look pulled straight from an early aughts running catalog. Layer up in a mixture of flashy metallics, referential plastic details and a midsole with a perfectly vintage aesthetic. And the chunky heel makes sure wherever you go, it's in comfort.Shown: Black/Anthracite/Dark Smoke GreyStyle: HJ4497-001",5 Stars,1.0
FB8251-100,125,True,94.97,https://www.nike.com/t/air-force-1-07-womens-shoes-2pN8fN/FB8251-100,"Comfortable, durable and timeless—it’s number 1 for a reason. The classic ‘80s construction gets a metamorphous refresh inspired by the merging of digital and physical worlds. Jewel-like hardware, holographic accents and a special JDI dubrae add the finishing touch so you can take center stage in style.Shown: White/Black/Multi-ColorStyle: FB8251-100",4.4 Stars,33.0
FB1276-002,110,False,110.0,https://www.nike.com/t/free-rn-nn-mens-road-running-shoes-mtjPzd/FB1276-002,"If it’s freedom you crave, this road runner can help turn you loose. Feathery and flexible, its barefoot feel and Flyknit upper will have you freewheeling with joy, ready to go a few more strides.Shown: Black/Anthracite/WhiteStyle: FB1276-002",4.2 Stars,38.0
